x,y,z
-0.018125,0.200179,0.013493
-0.018125,0.215329,0.028816
-0.018125,0.200179,0.013493
-0.018125,0.215329,0.044139
-0.018125,0.18503,0.059462
-0.033371,0.200179,0.028816
-0.07911,0.18503,0.013493
-0.048618,0.200179,0.013493
-0.048618,0.200179,0.044139
-0.018125,0.18503,0.059462
-0.002878,0.200179,0.059462
-0.033371,0.169881,0.044139
-0.033371,0.18503,0.028816
-0.018125,0.200179,0.028816
-0.018125,0.18503,0.028816
-0.033371,0.18503,0.028816
-0.018125,0.200179,0.013493
-0.018125,0.18503,0.044139
0.012368,0.18503,0.044139
0.012368,0.215329,0.044139
0.012368,0.200179,0.059462
0.027615,0.169881,0.044139
0.012368,0.200179,0.028816
-0.002878,0.18503,0.028816
-0.002878,0.169881,0.013493
-0.002878,0.169881,-0.001829
-0.002878,0.169881,0.028816
0.012368,0.169881,0.028816
-0.002878,0.230478,0.028816
0.027615,0.18503,0.028816
0.027615,0.169881,0.059462
0.012368,0.18503,0.059462
0.012368,0.200179,0.044139
0.012368,0.18503,0.028816
0.042861,0.169881,0.044139
0.042861,0.18503,0.028816
0.012368,0.169881,0.044139
0.012368,0.169881,0.013493
0.058107,0.169881,0.044139
0.042861,0.169881,0.044139
0.042861,0.139582,0.059462
0.027615,0.169881,0.028816
-0.002878,0.154731,0.044139
-0.002878,0.139582,0.044139
0.027615,0.154731,0.028816
0.058107,0.139582,0.028816
0.042861,0.169881,0.013493
0.012368,0.139582,0.028816
-0.033371,0.169881,0.044139
-0.018125,0.169881,0.028816
0.012368,0.154731,0.044139
-0.018125,0.154731,0.028816
0.012368,0.139582,0.028816
0.027615,0.139582,0.044139
0.042861,0.139582,0.044139
0.012368,0.154731,0.044139
0.027615,0.18503,0.059462
0.012368,0.139582,0.059462
0.027615,0.139582,0.044139
0.012368,0.124432,0.028816
0.042861,0.124432,0.044139
0.012368,0.139582,0.028816
-0.018125,0.139582,0.028816
0.012368,0.139582,0.044139
0.012368,0.109283,0.013493
0.012368,0.124432,0.028816
0.027615,0.154731,0.028816
0.042861,0.154731,0.059462
0.027615,0.139582,0.044139
0.058107,0.154731,0.044139
0.058107,0.169881,0.059462
0.027615,0.139582,0.059462
0.073354,0.139582,0.059462
0.058107,0.139582,0.090108
0.012368,0.139582,0.059462
-0.018125,0.139582,0.090108
-0.033371,0.139582,0.074785
-0.033371,0.139582,0.074785
0.027615,0.154731,0.028816
0.027615,0.139582,0.074785
0.042861,0.154731,0.074785
0.073354,0.139582,0.059462
0.058107,0.124432,0.074785
0.012368,0.124432,0.059462
0.012368,0.124432,0.044139
0.042861,0.139582,0.059462
0.027615,0.124432,0.074785
0.058107,0.124432,0.10543
0.073354,0.139582,0.059462
0.058107,0.124432,0.059462
0.027615,0.109283,0.044139
0.058107,0.109283,0.059462
0.073354,0.124432,0.074785
0.0886,0.124432,0.074785
0.0886,0.109283,0.074785
0.073354,0.109283,0.059462
0.042861,0.109283,0.074785
0.073354,0.109283,0.059462
0.103846,0.124432,0.059462
0.103846,0.109283,0.074785
0.0886,0.109283,0.044139
0.0886,0.109283,0.059462
0.0886,0.078985,0.090108
0.073354,0.094134,0.090108
0.073354,0.124432,0.059462
0.058107,0.109283,0.059462
0.073354,0.109283,0.090108
0.058107,0.078985,0.10543
0.073354,0.094134,0.090108
0.058107,0.078985,0.090108
0.042861,0.124432,0.074785
0.027615,0.124432,0.090108
0.042861,0.109283,0.059462
0.027615,0.109283,0.090108
0.042861,0.094134,0.074785
0.027615,0.094134,0.090108
0.058107,0.094134,0.074785
0.042861,0.094134,0.059462
0.042861,0.109283,0.074785
0.058107,0.139582,0.090108
0.0886,0.124432,0.10543
0.073354,0.109283,0.090108
0.058107,0.109283,0.120753
0.042861,0.094134,0.090108
0.073354,0.094134,0.090108
0.058107,0.109283,0.074785
0.073354,0.094134,0.074785
0.0886,0.094134,0.090108
0.058107,0.109283,0.074785
0.0886,0.094134,0.090108
0.042861,0.094134,0.090108
0.073354,0.094134,0.090108
0.027615,0.078985,0.074785
0.027615,0.094134,0.059462
0.058107,0.094134,0.074785
0.073354,0.063836,0.090108
0.0886,0.094134,0.10543
0.073354,0.094134,0.10543
0.0886,0.094134,0.10543
0.073354,0.109283,0.090108
0.058107,0.094134,0.074785
0.042861,0.078985,0.074785
0.042861,0.063836,0.090108
0.073354,0.078985,0.120753
0.073354,0.078985,0.090108
0.073354,0.078985,0.120753
0.073354,0.078985,0.120753
0.073354,0.109283,0.120753
0.042861,0.109283,0.090108
0.042861,0.078985,0.090108
0.042861,0.109283,0.10543
0.058107,0.094134,0.090108
0.073354,0.048686,0.10543
0.0886,0.094134,0.120753
0.0886,0.063836,0.10543
0.042861,0.078985,0.10543
0.042861,0.048686,0.074785
0.058107,0.078985,0.10543
0.0886,0.063836,0.136076
0.119092,0.048686,0.10543
0.0886,0.094134,0.090108
0.073354,0.063836,0.090108
0.073354,0.078985,0.10543
0.073354,0.078985,0.10543
0.103846,0.063836,0.090108
0.0886,0.063836,0.074785
0.103846,0.078985,0.090108
0.073354,0.094134,0.090108
0.073354,0.048686,0.10543
0.042861,0.063836,0.10543
0.058107,0.063836,0.090108
0.058107,0.063836,0.090108
0.073354,0.063836,0.10543
0.042861,0.063836,0.090108
0.012368,0.063836,0.090108
0.0886,0.063836,0.120753
0.073354,0.018388,0.090108
0.073354,0.033537,0.090108
0.073354,0.048686,0.090108
0.0886,0.109283,0.120753
0.103846,0.094134,0.120753
0.0886,0.094134,0.090108
0.0886,0.094134,0.10543
0.058107,0.048686,0.10543
0.0886,0.078985,0.120753
0.073354,0.094134,0.090108
0.0886,0.078985,0.090108
0.103846,0.063836,0.10543
0.134339,0.063836,0.090108
0.103846,0.078985,0.10543
0.103846,0.078985,0.090108
0.0886,0.078985,0.10543
0.073354,0.094134,0.10543
0.073354,0.109283,0.151399
0.0886,0.063836,0.090108
0.042861,0.078985,0.120753
0.012368,0.109283,0.120753
0.058107,0.109283,0.120753
0.0886,0.109283,0.10543
0.073354,0.094134,0.10543
0.073354,0.063836,0.090108
0.0886,0.078985,0.10543
0.119092,0.078985,0.10543
0.0886,0.094134,0.120753
0.0886,0.109283,0.10543
0.058107,0.094134,0.090108
0.058107,0.078985,0.074785
0.058107,0.078985,0.10543
0.058107,0.109283,0.10543
0.073354,0.109283,0.090108
0.0886,0.094134,0.090108
0.0886,0.094134,0.10543
0.0886,0.094134,0.090108
0.073354,0.094134,0.090108
0.058107,0.033537,0.10543
0.0886,0.078985,0.10543
0.073354,0.109283,0.120753
0.073354,0.124432,0.120753
0.0886,0.124432,0.120753
0.0886,0.139582,0.120753
0.0886,0.094134,0.090108
0.073354,0.094134,0.120753
0.073354,0.078985,0.120753
0.027615,0.109283,0.151399
0.027615,0.109283,0.136076
0.027615,0.109283,0.120753
0.058107,0.094134,0.120753
0.058107,0.063836,0.120753
0.042861,0.078985,0.120753
0.042861,0.078985,0.136076
0.073354,0.094134,0.10543
0.058107,0.094134,0.10543
0.073354,0.063836,0.10543
0.0886,0.109283,0.090108
0.027615,0.109283,0.10543
0.042861,0.124432,0.120753
0.042861,0.109283,0.120753
0.042861,0.094134,0.090108
0.027615,0.109283,0.074785
0.073354,0.139582,0.090108
0.103846,0.139582,0.10543
0.119092,0.124432,0.10543
0.119092,0.109283,0.090108
0.0886,0.094134,0.120753
0.073354,0.094134,0.120753
0.042861,0.094134,0.166722
0.058107,0.094134,0.151399
0.073354,0.109283,0.136076
0.073354,0.094134,0.10543
0.103846,0.109283,0.120753
0.103846,0.139582,0.10543
0.103846,0.139582,0.090108
0.0886,0.109283,0.120753
0.058107,0.124432,0.10543
0.058107,0.109283,0.10543
0.027615,0.124432,0.120753
0.027615,0.139582,0.120753
0.058107,0.124432,0.10543
0.058107,0.109283,0.10543
0.073354,0.124432,0.10543
0.0886,0.124432,0.120753
0.0886,0.124432,0.120753
0.073354,0.109283,0.090108
0.027615,0.063836,0.044139
-0.033371,0.124432,0.090108
-0.002878,0.109283,0.10543
0.0886,0.063836,0.090108
0.042861,0.109283,0.120753
0.058107,0.094134,0.151399
0.058107,0.109283,0.120753
0.042861,0.139582,0.10543
0.042861,0.139582,0.090108
0.042861,0.109283,0.074785
0.027615,0.094134,0.090108
0.042861,0.169881,0.10543
0.073354,0.169881,0.090108
0.027615,0.18503,0.10543
-0.002878,0.154731,0.10543
-0.002878,0.109283,0.090108
-0.018125,0.094134,0.120753
0.012368,0.139582,0.166722
0.073354,0.124432,0.166722
0.134339,0.169881,0.10543
0.134339,0.094134,0.059462
0.073354,0.063836,0.059462
0.012368,0.094134,0.044139
-0.033371,0.063836,0.090108
0.012368,0.094134,0.10543
-0.002878,0.048686,0.136076
0.012368,0.063836,0.151399
-0.002878,0.078985,0.136076
0.012368,0.078985,0.151399
0.042861,0.109283,0.151399
0.058107,0.109283,0.136076
0.073354,0.094134,0.10543
0.042861,0.094134,0.090108
0.042861,0.078985,0.10543
0.058107,0.109283,0.151399
0.103846,0.139582,0.136076
0.073354,0.139582,0.136076
0.042861,0.109283,0.090108
0.058107,0.063836,0.044139
0.103846,0.094134,0.10543
0.103846,0.063836,0.10543
0.073354,0.063836,0.090108
-0.018125,0.063836,0.028816
-0.033371,0.063836,-0.001829
0.012368,0.078985,0.074785
0.058107,0.169881,0.10543
0.119092,0.200179,0.074785
0.149586,0.200179,0.074785
0.134339,0.215329,0.090108
0.134339,0.230478,0.10543
0.0886,0.260777,0.090108
0.073354,0.275926,0.059462
0.0886,0.200179,0.044139
0.119092,0.18503,0.044139
0.149586,0.169881,0.059462
0.149586,0.215329,0.120753
0.0886,0.200179,0.136076
0.042861,0.200179,0.182044
0.103846,0.291075,0.228013
0.180079,0.381971,0.258658
0.256311,0.442568,0.31995
0.286803,0.457717,0.350595
0.317296,0.533464,0.350595
0.408775,0.594061,0.396564
0.439267,0.715256,0.4885
0.454514,0.745554,0.503823
0.408775,0.654658,0.427209
0.378282,0.62436,0.273981
0.485007,0.715256,0.258658
0.530746,0.821301,0.273981
0.46976,0.83645,0.304627
0.256311,0.62436,0.182044
0.0886,0.336523,0.028816
0.119092,0.230478,-0.047798
0.195325,0.351672,-0.032475
0.149586,0.503165,0.013493
0.027615,0.442568,0.090108
-0.140096,0.291075,0.074785
-0.170589,0.260777,0.074785
-0.170589,0.381971,0.074785
-0.063864,0.518315,0.10543
0.0886,0.548613,0.044139
0.073354,0.472867,-0.093766
0.042861,0.503165,-0.185703
0.012368,0.715256,-0.124411
-0.002878,0.897047,-0.06312
